Giornata,Data,Partite
1,20/8/23,Bologna-Milan;Empoli-Verona;Frosinone-Napoli;Genoa-Fiorentina;Inter-Monza;Lecce-Lazio;Roma-Salernitana;Sassuolo-Atalanta;Torino-Cagliari;Juventus-Udinese
2,27/8/23,Cagliari-Inter;Fiorentina-Lecce;Frosinone-Atalanta;Verona-Roma;Juventus-Bologna;Lazio-Genoa;Milan-Torino;Monza-Empoli;Napoli-Sassuolo;Salernitana-Udinese
3,3/9/23,Atalanta-Monza;Bologna-Cagliari;Empoli-Juventus;Inter-Fiorentina;Lecce-Salernitana;Napoli-Lazio;Roma-Milan;Sassuolo-Verona;Torino-Genoa;Udinese-Frosinone
4,17/9/23,Cagliari-Udinese;Fiorentina-Atalanta;Frosinone-Sassuolo;Genoa-Napoli;Verona-Bologna;Inter-Milan;Juventus-Lazio;Monza-Lecce;Roma-Empoli;Salernitana-Torino
5,24/9/23,Atalanta-Cagliari;Bologna-Napoli;Empoli-Inter;Lazio-Monza;Lecce-Genoa;Milan-Verona;Salernitana-Frosinone;Sassuolo-Juventus;Torino-Roma;Udinese-Fiorentina
6,27/9/23,Cagliari-Milan;Empoli-Salernitana;Frosinone-Fiorentina;Genoa-Roma;Verona-Atalanta;Inter-Sassuolo;Juventus-Lecce;Lazio-Torino;Monza-Bologna;Napoli-Udinese
7,1/10/23,Atalanta-Juventus;Bologna-Empoli;Fiorentina-Cagliari;Lecce-Napoli;Milan-Lazio;Roma-Frosinone;Salernitana-Inter;Sassuolo-Monza;Torino-Verona;Udinese-Genoa
8,8/10/23,Cagliari-Roma;Empoli-Udinese;Frosinone-Verona;Genoa-Milan;Inter-Bologna;Juventus-Torino;Lazio-Atalanta;Lecce-Sassuolo;Monza-Salernitana;Napoli-Fiorentina
9,22/10/23,Atalanta-Genoa;Bologna-Frosinone;Fiorentina-Empoli;Verona-Napoli;Milan-Juventus;Roma-Monza;Salernitana-Cagliari;Sassuolo-Lazio;Torino-Inter;Udinese-Lecce
10,29/10/23,Cagliari-Frosinone;Empoli-Atalanta;Genoa-Salernitana;Inter-Roma;Juventus-Verona;Lazio-Fiorentina;Lecce-Torino;Monza-Udinese;Napoli-Milan;Sassuolo-Bologna
11,5/11/23,Atalanta-Inter;Bologna-Lazio;Cagliari-Genoa;Fiorentina-Juventus;Frosinone-Empoli;Verona-Monza;Milan-Udinese;Roma-Lecce;Salernitana-Napoli;Torino-Sassuolo
12,12/11/23,Fiorentina-Bologna;Genoa-Verona;Inter-Frosinone;Juventus-Cagliari;Lazio-Roma;Lecce-Milan;Monza-Torino;Napoli-Empoli;Sassuolo-Salernitana;Udinese-Atalanta
13,26/11/23,Atalanta-Napoli;Bologna-Torino;Cagliari-Monza;Empoli-Sassuolo;Frosinone-Genoa;Verona-Lecce;Juventus-Inter;Milan-Fiorentina;Roma-Udinese;Salernitana-Lazio
14,3/12/23,Fiorentina-Salernitana;Genoa-Empoli;Lazio-Cagliari;Lecce-Bologna;Milan-Frosinone;Monza-Juventus;Napoli-Inter;Sassuolo-Roma;Torino-Atalanta;Udinese-Verona
15,10/12/23,Atalanta-Milan;Cagliari-Sassuolo;Empoli-Lecce;Frosinone-Torino;Verona-Lazio;Inter-Udinese;Juventus-Napoli;Monza-Genoa;Roma-Fiorentina;Salernitana-Bologna
16,17/12/23,Atalanta-Salernitana;Bologna-Roma;Fiorentina-Verona;Genoa-Juventus;Lazio-Inter;Lecce-Frosinone;Milan-Monza;Napoli-Cagliari;Torino-Empoli;Udinese-Sassuolo
17,23/12/23,Bologna-Atalanta;Empoli-Lazio;Frosinone-Juventus;Verona-Cagliari;Inter-Lecce;Monza-Fiorentina;Roma-Napoli;Salernitana-Milan;Sassuolo-Genoa;Torino-Udinese
18,30/12/23,Atalanta-Lecce;Cagliari-Empoli;Fiorentina-Torino;Genoa-Inter;Verona-Salernitana;Juventus-Roma;Milan-Sassuolo;Udinese-Bologna;Lazio-Frosinone;Napoli-Monza
19,7/1/24,Bologna-Genoa;Empoli-Milan;Frosinone-Monza;Roma-Atalanta;Lecce-Cagliari;Sassuolo-Fiorentina;Inter-Verona;Salernitana-Juventus;Udinese-Lazio;Torino-Napoli
20,14/1/24,Atalanta-Frosinone;Cagliari-Bologna;Fiorentina-Udinese;Genoa-Torino;Verona-Empoli;Juventus-Sassuolo;Lazio-Lecce;Milan-Roma;Monza-Inter;Napoli-Salernitana
21,21/1/24,Bologna-Fiorentina;Empoli-Monza;Frosinone-Cagliari;Inter-Atalanta;Lecce-Juventus;Roma-Verona;Salernitana-Genoa;Sassuolo-Napoli;Torino-Lazio;Udinese-Milan
22,28/1/24,Atalanta-Udinese;Cagliari-Torino;Fiorentina-Inter;Genoa-Lecce;Verona-Frosinone;Juventus-Empoli;Lazio-Napoli;Milan-Bologna;Monza-Sassuolo;Salernitana-Roma
23,14/2/24,Atalanta-Lazio;Bologna-Sassuolo;Empoli-Genoa;Frosinone-Milan;Inter-Juventus;Lecce-Fiorentina;Napoli-Verona;Roma-Cagliari;Torino-Salernitana;Udinese-Monza
24,11/2/24,Bologna-Lecce;Cagliari-Lazio;Fiorentina-Frosinone;Genoa-Atalanta;Juventus-Udinese;Milan-Napoli;Monza-Verona;Roma-Inter;Salernitana-Empoli;Sassuolo-Torino
25,18/2/24,Atalanta-Sassuolo;Empoli-Fiorentina;Frosinone-Roma;Verona-Juventus;Inter-Salernitana;Lazio-Bologna;Monza-Milan;Napoli-Genoa;Torino-Lecce;Udinese-Cagliari
26,25/2/24,Bologna-Verona;Cagliari-Napoli;Fiorentina-Lazio;Genoa-Udinese;Juventus-Frosinone;Lecce-Inter;Milan-Atalanta;Roma-Torino;Salernitana-Monza;Sassuolo-Empoli
27,3/3/24,Atalanta-Bologna;Empoli-Cagliari;Frosinone-Lecce;Verona-Sassuolo;Inter-Genoa;Lazio-Milan;Monza-Roma;Napoli-Juventus;Torino-Fiorentina;Udinese-Salernitana
