date,amount,description
2023-12-07 19:19:59,100.0,ricarica effettuata dall'agenzia
2023-12-07 21:28:30,-5.0,iscrizione torneo
2023-12-07 21:28:33,-2.5,iscrizione torneo
2023-12-07 21:28:36,-1.0,iscrizione torneo
2023-12-07 21:29:41,-1.0,iscrizione torneo
2023-12-07 21:29:42,-2.5,iscrizione torneo
2023-12-07 21:29:44,-5.0,iscrizione torneo
2023-12-07 21:31:16,-1.0,iscrizione torneo
2023-12-07 21:31:17,-2.5,iscrizione torneo
2023-12-07 21:31:19,-5.0,iscrizione torneo
2023-12-08 11:18:15,1.08,Vincita torneo
2023-12-08 11:18:16,2.7,Vincita torneo
2023-12-08 11:36:49,6.0,Vincita torneo
2023-12-08 12:50:56,-1.0,iscrizione torneo
2023-12-08 12:50:58,-2.5,iscrizione torneo
2023-12-08 12:51:01,-5.0,iscrizione torneo
2023-12-10 18:44:59,0.84,Vincita torneo
2023-12-10 18:44:59,2.1,Vincita torneo
2023-12-10 18:44:59,4.2,Vincita torneo
2023-12-11 00:41:30,-2.5,iscrizione torneo
