date,amount,description
2023-12-07 19:20:04,100.0,ricarica effettuata dall'agenzia
2023-12-07 19:28:14,-1.0,iscrizione torneo
2023-12-07 19:28:17,-2.5,iscrizione torneo
2023-12-07 19:28:20,-5.0,iscrizione torneo
2023-12-07 19:29:08,-1.0,iscrizione torneo
2023-12-07 19:29:11,-2.5,iscrizione torneo
2023-12-07 19:29:13,-5.0,iscrizione torneo
2023-12-08 12:21:30,-5.0,iscrizione torneo
2023-12-08 12:21:35,-1.0,iscrizione torneo
2023-12-08 12:21:37,-2.5,iscrizione torneo
2023-12-08 12:51:22,-1.0,iscrizione torneo
2023-12-08 12:51:24,-2.5,iscrizione torneo
2023-12-08 12:51:26,-5.0,iscrizione torneo
