date,amount,description
2023-12-07 21:33:54,10.0,ricarica effettuata dall'agenzia
2023-12-07 21:36:19,-5.0,iscrizione torneo
2023-12-07 21:36:21,-2.5,iscrizione torneo
2023-12-07 21:36:22,-1.0,iscrizione torneo
2023-12-07 21:37:56,-1.0,iscrizione torneo
2023-12-07 21:38:31,100.0,ricarica effettuata dall'agenzia
2023-12-07 21:39:43,-2.5,iscrizione torneo
2023-12-07 21:39:45,-5.0,iscrizione torneo
2023-12-08 11:18:15,1.8,Vincita torneo
2023-12-08 11:18:16,4.5,Vincita torneo
2023-12-08 11:36:49,10.0,Vincita torneo
2023-12-08 12:51:58,-1.0,iscrizione torneo
2023-12-08 12:52:00,-2.5,iscrizione torneo
2023-12-08 12:52:02,-5.0,iscrizione torneo
