date,amount,description
2023-12-07 21:38:37,1000.0,ricarica effettuata dall'agenzia
2023-12-07 21:41:50,-1.0,iscrizione torneo
2023-12-07 21:41:53,-2.5,iscrizione torneo
2023-12-07 21:41:54,-5.0,iscrizione torneo
2023-12-08 11:18:15,3.6,Vincita torneo
2023-12-08 11:18:16,9.0,Vincita torneo
2023-12-08 11:36:49,20.0,Vincita torneo
2023-12-08 12:50:10,-1.0,iscrizione torneo
2023-12-08 12:50:12,-2.5,iscrizione torneo
2023-12-08 12:50:14,-5.0,iscrizione torneo
2023-12-10 18:44:59,2.8,Vincita torneo
2023-12-10 18:44:59,7.0,Vincita torneo
2023-12-10 18:44:59,14.0,Vincita torneo
