date,amount,description
2023-12-07 19:20:10,100.0,ricarica effettuata dall'agenzia
2023-12-08 11:03:28,-5.0,iscrizione torneo
2023-12-08 11:03:32,-2.5,iscrizione torneo
2023-12-08 11:03:35,-1.0,iscrizione torneo
2023-12-08 12:50:35,-1.0,iscrizione torneo
2023-12-08 12:50:37,-2.5,iscrizione torneo
2023-12-08 12:50:38,-5.0,iscrizione torneo
2023-12-10 16:11:54,-2.5,iscrizione torneo
2023-12-10 18:44:59,1.4,Vincita torneo
2023-12-10 18:44:59,3.5,Vincita torneo
2023-12-10 18:44:59,7.0,Vincita torneo
2023-12-10 23:32:33,-1.0,iscrizione torneo
2023-12-10 23:32:39,-2.5,iscrizione torneo
2023-12-10 23:32:54,-5.0,iscrizione torneo
2023-12-11 00:02:12,-2.5,iscrizione torneo
2023-12-11 00:02:17,-1.0,iscrizione torneo
2023-12-11 00:02:20,-5.0,iscrizione torneo
2023-12-11 00:40:28,-2.5,iscrizione torneo
2023-12-11 00:53:30,-1.0,iscrizione torneo
2023-12-11 00:54:27,-5.0,iscrizione torneo
2023-12-11 00:54:34,-2.5,iscrizione torneo
